scenario,p,method,mean_runtime_seconds,mean_iterations,mean_number_models,mean_number_edges,sd_number_edges,mean_number_symmetries,sd_number_symmetries,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR,ePPV_percent,eTPR_percent,eTNR_percent,sPPV_percent,sTPR_percent,sTNR_percent
B,20,tau,618.4939234522001,165.8,10533.85,50.85,8.164589782456279,18.0,2.051956704170308,0.6965704024259608,0.5272727272727272,0.8705645161290322,0.4799898029387193,0.5375,0.8416666666666666,69.65704024259608,52.72727272727272,87.05645161290322,47.99898029387193,53.75,84.16666666666666
B,20,submodel,1122.8914943923,279.1,26970.85,48.1,6.632456082343141,12.4,2.087557121815378,0.6834955629395146,0.4924242424242425,0.8741935483870968,0.5490204933954934,0.41875,0.7916666666666667,68.34955629395147,49.24242424242425,87.41935483870968,54.90204933954934,41.875,79.16666666666667
