scenario,p,runtime_ipms,runtime_mle,speedup,identical_models,ePPV_ipms,ePPV_mle,eTPR_ipms,eTPR_mle
A,8,8.82222238099996,4.8048040357000215,1.836125326954075,10/10,0.7442335442335442,0.7442335442335442,1.0,1.0
A,12,183.7982340071,96.33584349660006,1.9078904313905418,10/10,0.7439108848667673,0.7439108848667673,0.975,0.975
B,8,12.15591107729997,4.3518709793999735,2.7932609065942486,10/10,0.8607400932400932,0.8607400932400932,0.9,0.9
B,12,275.1260323314999,83.73161541490008,3.285808245406682,10/10,0.7896854028324617,0.7896854028324617,0.808695652173913,0.808695652173913
