scenario,p,method,mean_runtime_seconds,mean_iterations,mean_number_models,mean_number_edges,sd_number_edges,mean_number_symmetries,sd_number_symmetries,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR,ePPV_percent,eTPR_percent,eTNR_percent,sPPV_percent,sTPR_percent,sTNR_percent
B,12,tau,253.9047632649499,56.5,1305.5,22.85,3.5433406776507868,8.6,1.8750438591361565,0.8177548681968186,0.8,0.8965116279069767,0.5628354978354978,0.7916666666666667,0.873529411764706,81.77548681968186,80.0,89.65116279069767,56.28354978354978,79.16666666666667,87.3529411764706
B,12,submodel,436.8707673078499,88.05,2732.5,22.5,4.019688388027374,7.2,2.117595458607661,0.8146304129792823,0.7847826086956522,0.896511627906977,0.6326007326007327,0.7333333333333333,0.8382352941176471,81.46304129792823,78.47826086956522,89.6511627906977,63.26007326007327,73.33333333333333,83.82352941176471
