scenario,p,method,mean_runtime_seconds,mean_iterations,mean_number_models,mean_number_edges,sd_number_edges,mean_number_symmetries,sd_number_symmetries,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR,ePPV_percent,eTPR_percent,eTNR_percent,sPPV_percent,sTPR_percent,sTNR_percent
B,8,tau,15.880467041450004,24.85,289.6,10.8,1.8524521444205844,4.5,0.9459053029269173,0.8454449716949718,0.8949999999999999,0.8972222222222221,0.6408333333333334,0.9333333333333332,0.925,84.54449716949718,89.49999999999999,89.72222222222221,64.08333333333334,93.33333333333333,92.5
B,8,submodel,22.972862188799997,35.5,485.75,10.8,1.5423836644690752,4.05,1.050062654772261,0.8359440559440561,0.89,0.8944444444444445,0.6483333333333333,0.85,0.8583333333333334,83.5944055944056,89.0,89.44444444444444,64.83333333333333,85.0,85.83333333333334
