scenario,p,method,mean_runtime_seconds,mean_iterations,mean_number_models,mean_number_edges,sd_number_edges,mean_number_symmetries,sd_number_symmetries,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR,ePPV_percent,eTPR_percent,eTNR_percent,sPPV_percent,sTPR_percent,sTNR_percent
A,16,tau,117.15595935555002,109.2,4372.55,26.75,4.327087266340524,9.4,1.2732056517228265,0.7459852632181968,0.8863636363636364,0.9260204081632653,0.18457611832611834,0.85,0.8931818181818183,74.59852632181968,88.63636363636364,92.60204081632652,18.457611832611835,85.0,89.31818181818183
A,16,submodel,198.95324724819994,183.85,10562.85,27.5,3.831998241951031,8.2,1.2814465510343749,0.7123158015262477,0.875,0.9158163265306122,0.18962481962481964,0.775,0.8488636363636364,71.23158015262477,87.5,91.58163265306122,18.962481962481963,77.5,84.88636363636364
