scenario,p,instability,exact_recovery_rate,distinct_models,point_edges,point_symmetries,bootstrap_ok,bootstrap_failed,mean_runtime
A,8,0.20100714285714286,0.02,191,6,2,200,0,2.751376179694995
A,12,0.3019363636363636,0.0,200,16,4,200,0,26.358040114919994
A,16,0.33387333333333336,0.0,200,33,7,200,0,173.72886061789998
B,8,0.26413035714285715,0.02,192,8,3,200,0,2.665961534064909
B,12,0.347355303030303,0.0,200,28,7,200,0,26.45994113902997
B,16,0.3619145833333333,0.0,200,33,11,200,0,174.69911356568508
