scenario,p,method,mean_runtime_seconds,mean_iterations,mean_number_models,mean_number_edges,sd_number_edges,mean_number_symmetries,sd_number_symmetries,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR,ePPV_percent,eTPR_percent,eTNR_percent,sPPV_percent,sTPR_percent,sTNR_percent
A,12,tau,205.0363319873,59.5,1384.2,16.95,3.1367935354770364,5.95,1.3945382182304158,0.7122213645917206,0.9791666666666666,0.9037037037037037,0.15988095238095237,0.9,0.8760869565217391,71.22213645917206,97.91666666666666,90.37037037037037,15.988095238095237,90.0,87.6086956521739
A,12,submodel,385.7856078446003,97.15,2985.5,17.25,2.5520889276702023,5.4,1.0462967275611939,0.7022684084061793,0.9875,0.9,0.17339285714285713,0.9,0.8391304347826087,70.22684084061794,98.75,90.0,17.33928571428571,90.0,83.91304347826087
